day,event
11,"학사일정 상세 내용
2025.11.1(토)
토요휴업일
2025.11.8(토)
토요휴업일
2025.11.12(수)
수능예비소집일
수능예비소집일(1, 2, 3학년)
2025.11.13(목)
대학수학능력시험(1,2학년)
대학수학능력시험(3학년)
수능(3학년)(1, 2, 3학년)
2025.11.14(금)
전일제진로활동
진로의 날(1,2학년)(1, 2, 3학년)
2025.11.15(토)
토요휴업일
2025.11.22(토)
토요휴업일
2025.11.24(월)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.25(화)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.26(수)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.27(목)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.28(금)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.29(토)
토요휴업일"
11,"학사일정 상세 내용
2025.11.1(토)
토요휴업일
2025.11.8(토)
토요휴업일
2025.11.12(수)
수능예비소집일
수능예비소집일(1, 2, 3학년)
2025.11.13(목)
대학수학능력시험(1,2학년)
대학수학능력시험(3학년)
수능(3학년)(1, 2, 3학년)
2025.11.14(금)
전일제진로활동
진로의 날(1,2학년)(1, 2, 3학년)
2025.11.15(토)
토요휴업일
2025.11.22(토)
토요휴업일
2025.11.24(월)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.25(화)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.26(수)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.27(목)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.28(금)
기말고사(3학년)
기말고사(3학년)(1, 2, 3학년)
2025.11.29(토)
토요휴업일"
